EVM0000058.1,Gene58.1,,
EVM0000059.1,Gene59.1,,
EVM0000060.1,Gene60.1,,
EVM0000061.1,Gene61.1,,
EVM0000062.1,Gene62.1,,
EVM0000064.1,Gene64.1,,
EVM0000065.1,Gene65.1,,
EVM0000066.1,Gene66.1,,
EVM0000067.2,Gene67.2,,
EVM0000068.1,Gene68.1,,
EVM0000069.1,Gene69.1,,
EVM0000070.1,Gene70.1,,
EVM0000072.1,Gene72.1,,
EVM0000073.1,Gene73.1,,
EVM0000074.1,Gene74.1,,
EVM0000075.1,Gene75.1,,
EVM0000076.1,Gene76.1,,
EVM0000077.1,Gene77.1,,
EVM0000078.1,Gene78.1,,
EVM0000079.2,Gene79.2,,
EVM0000080.1,Gene80.1,,
EVM0000081.2,Gene81.2,,
EVM0000082.1,Gene82.1,,
EVM0000083.1,Gene83.1,,
EVM0000084.1,Gene84.1,,
EVM0000085.1,Gene85.1,,
EVM0000086.1,Gene86.1,,
EVM0000087.1,Gene87.1,,
EVM0000088.1,Gene88.1,,
EVM0000089.1,Gene89.1,,
EVM0000091.1,Gene91.1,,
EVM0000092.1,Gene92.1,,
EVM0000093.1,Gene93.1,,
EVM0000094.1,Gene94.1,,
EVM0000095.1,Gene95.1,,
EVM0000096.1,Gene96.1,,
EVM0000097.1,Gene97.1,,
EVM0000098.2,Gene98.2,,
EVM0000099.1,Gene99.1,,
EVM0000100.1,Gene100.1,,
EVM0000101.1,Gene101.1,,
EVM0000102.1,Gene102.1,,
EVM0000103.1,Gene103.1,,
EVM0000104.1,Gene104.1,,
EVM0000105.1,Gene105.1,,
EVM0000106.1,Gene106.1,,
EVM0000107.1,Gene107.1,,
EVM0000109.1,Gene109.1,,
EVM0000110.1,Gene110.1,,
EVM0000111.1,Gene111.1,,
EVM0000113.1,Gene113.1,,
EVM0000114.1,Gene114.1,,
EVM0000115.1,Gene115.1,,
EVM0000116.1,Gene116.1,,
EVM0000118.1,Gene118.1,,
EVM0000119.1,Gene119.1,,
EVM0000120.1,Gene120.1,,
EVM0000121.1,Gene121.1,,
EVM0000122.1,Gene122.1,,
EVM0000124.1,Gene124.1,,
EVM0000125.1,Gene125.1,,
EVM0000126.1,Gene126.1,,
EVM0000128.1,Gene128.1,,
EVM0000129.1,Gene129.1,,
EVM0000130.1,Gene130.1,,
EVM0000131.1,Gene131.1,,
EVM0000132.1,Gene132.1,,
EVM0000133.1,Gene133.1,,
EVM0000134.1,Gene134.1,,
EVM0000137.1,Gene137.1,,
EVM0000138.1,Gene138.1,,
EVM0000139.1,Gene139.1,,
EVM0000140.1,Gene140.1,,
EVM0000141.1,Gene141.1,,
EVM0000143.1,Gene143.1,,
EVM0000144.1,Gene144.1,,
EVM0000145.1,Gene145.1,,
EVM0000146.1,Gene146.1,,
EVM0000147.2,Gene147.2,,
EVM0000148.1,Gene148.1,,
EVM0000149.1,Gene149.1,,
EVM0000150.1,Gene150.1,,
EVM0000151.1,Gene151.1,,
EVM0000152.1,Gene152.1,,
EVM0000153.2,Gene153.2,,
EVM0000154.1,Gene154.1,,
EVM0000155.1,Gene155.1,,
EVM0000156.1,Gene156.1,,
EVM0000158.1,Gene158.1,,
EVM0000159.1,Gene159.1,,
EVM0000160.1,Gene160.1,,
EVM0000161.1,Gene161.1,,
EVM0000162.1,Gene162.1,,
EVM0000163.1,Gene163.1,,
EVM0000164.1,Gene164.1,,
EVM0000165.1,Gene165.1,,
EVM0000166.1,Gene166.1,,
EVM0000167.1,Gene167.1,,
EVM0000168.1,Gene168.1,,
EVM0000169.1,Gene169.1,,
EVM0000170.1,Gene170.1,,
EVM0000171.1,Gene171.1,,
EVM0000172.1,Gene172.1,,
EVM0000173.1,Gene173.1,,
EVM0000174.1,Gene174.1,,
EVM0000176.1,Gene176.1,,
EVM0000177.1,Gene177.1,,
EVM0000178.2,Gene178.2,,
EVM0000179.1,Gene179.1,,
EVM0000180.1,Gene180.1,,
EVM0000181.1,Gene181.1,,
EVM0000182.1,Gene182.1,,
EVM0000183.1,Gene183.1,,
EVM0000184.1,Gene184.1,,
EVM0000185.1,Gene185.1,,
EVM0000186.1,Gene186.1,,
EVM0000187.1,Gene187.1,,
EVM0000188.2,Gene188.2,,
EVM0000189.1,Gene189.1,,
EVM0000190.1,Gene190.1,,
EVM0000191.1,Gene191.1,,
EVM0000194.1,Gene194.1,,
EVM0000195.1,Gene195.1,,
EVM0000196.1,Gene196.1,,
EVM0000197.1,Gene197.1,,
EVM0000198.1,Gene198.1,,
EVM0000200.1,Gene200.1,,
EVM0000201.1,Gene201.1,,
EVM0000202.1,Gene202.1,,
EVM0000203.1,Gene203.1,,
